"ID"	"goose20"	"goose22"	"goose37"	"goose42"	"goose44"
"txid460384"	0	0	0	1	0
"txid2788944"	0	5	3	1	1
"txid39482"	0	10	1	0	0
"txid2726362"	0	1	0	0	0
"txid290055"	0	0	0	1	0
"txid1544"	0	1	1	2	1
"txid1912855"	0	0	0	1	1
"txid1150298"	0	0	1	1	1
"txid1912090"	0	3	2	0	1
"txid1679721"	0	0	0	0	1
"txid2885351"	1	8	10	8	5
"txid2763671"	1	0	1	1	0
"txid1469948"	6	4	4	3	2
"txid29364"	0	0	4	5	2
"txid1926283"	1	0	0	2	1
"txid1917870"	0	0	1	1	1
"txid1852382"	5	7	4	6	9
"txid36832"	0	0	0	1	1
"txid94868"	0	0	0	1	0
"txid253257"	3	4	2	2	2
"txid1286362"	8	13	5	5	3
"txid69825"	1	3	4	2	5
"txid84030"	0	0	1	1	1
"txid29370"	2	3	2	2	2
"txid168384"	0	4	3	5	6
"txid411470"	0	3	3	0	2
"txid471875"	0	0	1	1	1
"txid33039"	0	0	0	0	1
"txid1653435"	0	0	0	1	0
"txid1337051"	0	2	0	0	1
"txid2068655"	0	0	0	0	2
"txid796944"	29	22	59	54	51
"txid796943"	487	384	288	250	300
"txid237576"	290	248	240	208	306
"txid2606632"	5	1	20	17	14
"txid2763669"	1	0	5	4	3
"txid301302"	0	0	1	1	1
"txid585394"	0	0	1	0	0
"txid622312"	0	0	1	0	0
"txid2605790"	0	0	1	0	1
"txid2681861"	0	0	0	0	1
"txid84037"	3	3	1	5	30
"txid2606635"	4	7	5	5	1
"txid2763667"	206	194	59	86	78
"txid1673717"	0	0	0	0	1
"txid1632013"	0	0	0	1	3
"txid1535"	1	0	0	0	0
"txid2741"	2	7	3	1	1
"txid2086584"	0	0	0	1	0
"txid384638"	0	0	1	0	2
"txid2654621"	1070	756	1801	1386	835
"txid742816"	1059	1040	571	639	803
"txid158847"	197	209	373	393	595
"txid491921"	5	12	23	29	35
"txid209880"	70	38	25	125	134
"txid156456"	0	0	0	0	1
"txid1852378"	1	2	4	7	12
"txid1852379"	0	1	5	11	22
"txid1122219"	0	0	0	1	0
"txid1064535"	1290	723	410	694	1443
"txid1675036"	0	1	3	3	3
"txid879612"	166	78	94	174	274
"txid1232428"	144	119	64	85	190
"txid187326"	5	5	10	13	25
"txid349095"	79	30	121	219	365
"txid2144175"	35	23	37	37	83
"txid349094"	0	1	3	2	5
"txid1111454"	0	0	2	5	6
"txid2045301"	2	2	25	37	80
"txid856"	3	10	21	0	1
"txid1852381"	38	17	36	35	23
"txid2584944"	24	14	15	20	6
"txid1944635"	160	80	124	151	47
"txid1107316"	0	0	0	1	0
"txid13335"	1	0	7	16	7
"txid179995"	206	205	539	513	168
"txid762983"	50	39	42	115	61
"txid83771"	196	140	144	340	149
"txid67826"	0	0	0	0	1
"txid208962"	0	0	0	0	1
"txid562"	1	2	1	1	1
"txid585054"	1	381	92	26	50
"txid1499973"	0	66	21	7	6
"txid621"	0	101	36	10	26
"txid622"	0	0	2	0	2
"txid623"	0	610	131	48	90
"txid624"	0	2	3	2	1
"txid985008"	0	1	0	0	0
"txid2025884"	0	1	0	0	0
"txid733"	1	0	0	0	0
