"ID"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"txid1653435"	2	0	0	1	0	0	0
"txid1337051"	0	0	0	1	1	0	1
"txid2068655"	1	0	0	0	0	0	0
"txid796944"	37	3	4	64	20	5	9
"txid796943"	145	54	21	392	98	42	126
"txid237576"	158	61	44	306	143	66	132
"txid2606632"	6	0	0	21	3	1	0
"txid2763669"	1	0	0	3	1	0	0
"txid301302"	2	0	0	2	0	0	0
"txid585394"	1	0	0	0	0	0	0
"txid622312"	1	0	0	1	0	0	0
"txid2605790"	1	0	0	2	1	0	0
"txid1653434"	1	0	0	0	0	0	0
"txid2681861"	0	0	0	1	0	0	0
"txid84037"	1	0	0	0	0	0	0
"txid2606634"	1	0	0	1	0	0	0
"txid2606635"	18	11	1	10	4	3	13
"txid2763667"	227	106	11	112	44	52	130
"txid2763670"	1	0	0	0	0	0	0
"txid1673717"	8	5	0	0	4	9	13
"txid642589"	1	1	0	0	1	0	0
"txid1632013"	3	0	0	1	1	1	0
"txid292800"	61	4	2	0	1	9	33
"txid1535"	8	22	1	0	18	16	42
"txid2741"	8	10	0	2	1	1	9
"txid1643805"	2	0	0	0	0	0	1
"txid2654621"	1525	1485	252	1454	583	790	1115
"txid742816"	734	2533	260	871	1612	1699	1534
"txid158847"	257	210	126	500	838	388	270
"txid491921"	88	74	22	40	120	52	20
"txid135083"	0	0	0	0	0	0	1
"txid209880"	0	0	4	152	76	20	40
"txid156456"	0	0	0	0	1	0	0
"txid1852378"	2	0	0	3	1	0	0
"txid1852379"	4	1	1	9	6	0	0
"txid1122219"	0	0	0	0	3	0	0
"txid1064535"	336	411	113	406	868	371	653
"txid1675036"	2	0	0	2	1	0	0
"txid879612"	173	119	0	250	294	87	136
"txid1232428"	121	206	22	160	280	177	324
"txid187326"	13	6	6	23	12	5	8
"txid349095"	215	57	13	287	389	53	79
"txid2144175"	84	71	42	79	120	70	93
"txid349094"	2	0	0	1	6	1	0
"txid1111454"	2	0	2	2	6	0	0
"txid2045301"	63	6	0	45	128	7	10
"txid1936062"	0	0	0	0	1	0	1
"txid479436"	1	1	0	0	0	0	1
"txid33033"	1	0	0	0	0	0	0
"txid134605"	1	0	0	0	0	0	0
"txid850"	27	15	5	0	1	27	7
"txid852"	9	2	1	0	0	2	1
"txid856"	470	271	17	1	35	269	128
"txid1631957"	0	1	0	0	0	0	0
"txid47671"	0	0	0	0	2	0	1
"txid1852381"	20	25	406	32	13	18	31
"txid2584944"	12	29	520	25	12	135	25
"txid1944635"	80	138	242	123	84	481	99
"txid40545"	0	0	4	0	0	1	0
"txid90367"	0	0	0	0	0	1	1
"txid33053"	0	0	0	0	0	1	0
"txid824"	0	0	0	1	0	0	1
"txid2762557"	1	0	0	0	0	0	0
"txid204"	1	1	0	0	0	0	0
"txid13335"	0	0	3	1	0	0	0
"txid179995"	2	0	39	188	1	0	0
"txid762983"	138	124	7	59	40	33	58
"txid83771"	0	0	2	2	0	0	0
"txid2718"	0	0	0	0	0	1	0
"txid67826"	0	0	0	1	0	0	0
"txid2497436"	0	0	0	0	3	0	0
"txid562"	0	0	0	1	0	0	1
"txid585054"	1	0	1	54	0	0	233
"txid1499973"	0	0	0	1	0	0	102
"txid622"	0	0	0	1	0	0	17
"txid623"	1	0	0	47	0	0	324
"txid624"	0	0	0	2	0	0	102
"txid549"	0	0	0	1	0	0	0
"txid584"	0	3	0	12	0	0	0
"txid1776742"	0	0	0	0	2	0	0
"txid1461579"	1	0	0	0	0	0	0
"txid2153"	11	19	22	1	0	1	28
