"ID"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"txid2025493"	1	7	15	9	9	6	7	5	2
"txid53443"	1	1	0	1	2	2	1	0	0
"txid2763028"	0	0	0	1	0	0	0	0	0
"txid2779518"	0	0	0	0	0	0	1	0	0
"txid89014"	0	0	0	1	0	0	0	0	0
"txid1917868"	0	0	0	1	0	0	0	0	0
"txid1121114"	0	2	0	4	2	4	4	0	2
"txid1936059"	0	0	0	1	0	0	0	0	0
"txid1796616"	0	2	1	3	3	3	4	0	1
"txid180164"	0	1	4	5	2	1	5	7	1
"txid871664"	0	0	0	1	0	0	0	0	0
"txid1121115"	0	0	0	0	0	0	0	1	0
"txid45851"	0	2	0	5	4	4	10	1	5
"txid831"	0	2	1	3	5	1	1	1	2
"txid185008"	3	1	6	9	0	1	1	2	3
"txid43305"	0	1	0	1	0	0	1	0	2
"txid673271"	6	4	10	4	0	0	5	8	0
"txid33043"	0	1	0	1	0	0	0	0	1
"txid1796618"	0	0	0	0	1	0	0	0	1
"txid2850323"	0	0	0	1	0	0	0	0	0
"txid2850322"	0	0	0	1	0	0	0	0	1
"txid2652274"	0	0	0	1	0	0	0	0	0
"txid1432052"	0	0	0	1	0	0	0	0	0
"txid208479"	46	17	50	64	61	93	42	24	26
"txid358743"	0	1	1	0	2	1	4	0	0
"txid1531"	4	4	5	8	8	14	6	0	2
"txid460384"	0	0	0	1	0	1	0	0	1
"txid2788944"	12	8	54	24	9	8	14	19	1
"txid39482"	17	9	64	25	2	8	23	23	4
"txid2726362"	1	2	12	7	3	1	8	5	2
"txid290055"	0	1	0	1	0	0	0	0	0
"txid1544"	2	4	11	11	4	3	14	0	2
"txid1912855"	0	0	0	3	2	2	3	0	1
"txid1150298"	0	0	0	0	0	0	1	0	0
"txid1408099"	0	1	0	0	0	0	0	0	0
"txid1912090"	0	1	2	1	2	1	2	0	1
"txid1679721"	0	0	0	0	1	0	0	0	0
"txid2885351"	2	2	5	15	16	15	9	5	10
"txid2763671"	0	1	1	1	1	4	2	2	0
"txid1469948"	0	2	2	4	4	3	3	4	2
"txid887325"	0	0	0	1	0	1	0	1	0
"txid29364"	0	0	0	1	2	1	1	0	1
"txid1926283"	3	1	1	2	1	5	7	1	2
"txid1917870"	1	0	0	3	0	3	1	0	1
"txid1871021"	0	0	0	0	1	1	1	0	0
"txid1852382"	6	3	5	7	6	3	13	3	2
"txid36832"	0	0	0	1	2	0	1	0	1
"txid94868"	0	1	0	1	0	0	1	0	1
"txid253257"	2	1	2	8	11	12	5	1	3
"txid1286362"	14	7	42	16	22	27	18	11	5
"txid69825"	2	4	7	8	15	15	8	2	6
"txid84030"	0	0	0	1	1	4	4	1	1
"txid29370"	3	4	6	6	8	5	6	2	3
"txid29375"	1	0	0	1	2	1	0	0	0
"txid168384"	0	1	4	5	0	9	2	5	1
"txid1298596"	0	2	0	1	1	5	1	0	0
"txid411470"	8	37	129	95	27	9	33	49	13
"txid471875"	0	1	0	1	0	1	0	0	0
"txid33039"	0	0	0	0	0	0	0	0	1
"txid1653435"	0	0	0	2	1	1	1	0	0
"txid1337051"	0	1	1	1	3	1	2	0	1
"txid2068655"	0	0	0	0	1	0	0	0	0
"txid796944"	6	14	10	35	29	31	30	10	19
"txid796943"	115	48	163	109	118	134	131	133	136
"txid237576"	101	44	123	99	82	122	94	112	100
"txid2606632"	0	2	0	3	4	3	6	1	6
"txid2763669"	0	0	0	1	2	2	1	1	1
"txid301302"	0	0	0	1	0	0	1	0	0
"txid622312"	0	0	0	0	2	0	1	0	0
"txid2605790"	0	0	0	0	0	1	0	0	0
"txid1653434"	0	0	0	1	0	0	0	0	1
"txid84037"	0	1	0	0	0	1	1	0	1
"txid2606634"	0	1	0	1	0	0	0	0	0
"txid2606635"	7	3	9	9	7	5	8	6	7
"txid2763667"	84	42	146	60	57	83	84	104	45
"txid253314"	0	0	0	1	0	0	0	0	0
"txid1673717"	1	10	2	5	6	4	5	0	11
"txid642589"	0	0	0	1	2	0	1	0	2
"txid1632013"	0	2	0	1	3	2	2	0	0
"txid292800"	7	25	61	46	116	60	62	52	36
"txid2779352"	0	0	0	1	2	1	1	0	0
"txid1870988"	0	3	0	1	0	0	1	1	0
"txid1535"	13	5	12	14	8	6	4	1	16
"txid2741"	17	4	39	5	5	2	11	52	2
"txid1643805"	0	0	1	1	0	1	0	0	0
"txid2086584"	0	0	0	0	1	0	0	0	0
"txid384638"	0	0	0	0	0	0	1	0	2
"txid2654621"	2146	659	1335	1000	1619	1671	1210	761	898
"txid742816"	1171	250	1571	1430	397	256	876	959	241
"txid158847"	170	114	170	645	176	116	345	122	105
"txid491921"	16	18	22	91	24	16	49	16	16
"txid209880"	33	2	14	6	5	11	5	4	2
"txid1852378"	0	0	0	1	1	1	0	1	1
"txid1852379"	0	0	0	1	2	0	1	0	0
"txid1122219"	0	0	0	0	0	0	0	0	1
"txid1064535"	300	46	150	103	89	117	63	194	189
"txid1675036"	1	0	0	0	2	0	0	0	2
"txid879612"	70	17	25	50	43	37	18	36	77
"txid1232428"	93	13	39	27	32	35	20	65	64
"txid187326"	4	0	1	2	2	2	2	3	3
"txid349095"	50	24	23	60	66	48	33	41	97
"txid2144175"	36	9	16	20	24	15	15	25	22
"txid349094"	0	0	0	1	0	0	1	0	1
"txid1111454"	0	0	0	1	1	1	0	0	0
"txid2045301"	5	5	1	11	13	13	5	2	22
"txid1936062"	0	0	0	0	0	0	0	0	1
"txid479436"	0	0	0	0	2	0	0	0	0
"txid134605"	0	1	0	0	0	0	0	0	0
"txid850"	0	8	18	10	12	1	12	10	1
"txid852"	0	2	4	3	6	1	9	1	0
"txid856"	0	13	26	22	28	3	20	2	0
"txid2857064"	1	0	0	0	0	0	0	1	0
"txid47671"	0	0	0	0	0	4	0	0	0
"txid2816950"	0	0	0	0	0	2	0	0	1
"txid391358"	2	0	0	0	0	0	0	0	0
"txid196015"	2	0	0	0	0	1	0	0	0
"txid1852381"	46	12	19	40	32	49	25	30	35
"txid2584944"	20	5	19	21	11	10	5	25	10
"txid1944635"	103	11	83	96	53	69	57	105	60
"txid90367"	0	0	0	0	0	1	0	1	0
"txid1107316"	1	0	0	1	0	0	0	0	0
"txid33053"	2	0	0	0	1	0	0	0	0
"txid76115"	3	0	1	0	1	2	0	0	0
"txid65401"	0	0	0	0	1	0	0	0	0
"txid824"	0	0	0	1	0	0	0	0	0
"txid2762557"	0	0	0	1	0	0	0	1	0
"txid204"	1	0	0	0	0	0	0	0	0
"txid762983"	61	25	95	92	65	77	77	66	37
"txid2718"	0	0	0	0	0	0	0	1	0
"txid565"	0	2	0	1	0	0	0	0	1
"txid158823"	0	0	0	0	0	0	0	0	2
"txid1748967"	0	0	0	0	0	0	1	0	0
"txid67826"	0	0	1	0	0	0	0	0	1
"txid61645"	0	0	56	46	24	7	0	0	471
"txid881260"	0	0	0	1	0	1	11	0	19
"txid69218"	0	0	0	2	1	0	0	0	5
"txid2494701"	0	1	22	57	19	7	1	0	234
"txid2497875"	0	2	0	2	0	1	33	0	37
"txid550"	0	0	0	0	0	0	75	0	3
"txid1296536"	0	0	0	2	0	0	138	0	2
"txid2494702"	0	0	0	1	1	0	1	0	9
"txid299767"	0	1	8	19	7	2	52	25	63
"txid539813"	0	0	34	78	30	10	0	0	9
"txid2529382"	0	0	0	0	0	0	503	2	5
"txid2497436"	0	2	469	471	183	69	6	0	87
"txid2071710"	0	1	4	7	4	3	73	2	288
"txid2529381"	0	0	90	89	26	16	0	0	155
"txid208962"	0	5	0	0	0	1	1	0	0
"txid562"	0	5	0	0	0	1	1	0	0
"txid585054"	5	937	45	17	2	51	214	28	231
"txid1499973"	0	589	30	9	4	35	134	11	83
"txid2899544"	0	0	0	0	0	0	0	0	1
"txid1028307"	0	0	0	0	0	0	0	0	2
"txid1300165"	0	0	1	0	0	0	0	0	0
"txid83655"	0	0	0	0	0	0	0	0	2
"txid566"	0	1	0	0	0	0	1	0	1
"txid1398493"	0	0	0	0	0	0	0	0	13
"txid621"	0	246	11	2	1	6	61	5	51
"txid622"	0	227	11	2	0	4	5	0	2
"txid623"	2	2371	106	44	18	167	580	54	534
"txid624"	1	72	1	1	2	30	33	1	13
"txid1388748"	0	0	0	0	0	0	0	0	2
"txid549"	0	0	1	6	1	0	15	29	36
"txid584"	0	0	3	1	0	0	5	0	0
"txid51048"	0	0	0	1	0	0	0	0	0
"txid714"	0	0	0	1	0	0	0	1	0
"txid2025884"	0	0	0	1	1	1	0	0	0
"txid733"	0	0	0	0	2	0	0	1	0
"txid1461579"	0	0	0	1	0	0	0	1	0
"txid115545"	0	0	0	1	0	0	0	0	0
"txid749"	0	0	0	0	0	0	0	1	0
"txid2153"	17	10	24	21	13	3	2	20	10
