"ID"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"txid2763667"	46	11	40	23	20	45	22	66
"txid1673717"	2	0	6	1	1	12	1	0
"txid1632013"	0	0	0	1	0	1	0	0
"txid2841504"	0	0	0	0	0	1	0	0
"txid292800"	7	2	5	4	4	6	0	3
"txid2779352"	0	1	0	0	0	0	0	0
"txid2714358"	0	0	2	0	0	1	0	1
"txid2714353"	1	0	0	0	0	1	0	0
"txid1535"	1	0	7	1	0	7	2	0
"txid2741"	2	0	3	2	1	1	0	6
"txid1643805"	0	0	1	0	0	0	0	0
"txid1776391"	0	3	0	0	0	0	0	0
"txid384638"	0	0	0	0	0	1	0	0
"txid2654621"	1041	187	1508	940	709	1483	455	1459
"txid742816"	1388	42	531	319	364	278	561	750
"txid158847"	104	1	179	251	272	201	416	193
"txid491921"	78	17	12	34	22	28	39	12
"txid209880"	44	0	11	4	10	15	11	26
"txid1852378"	0	0	0	2	1	1	1	0
"txid1852379"	1	1	1	3	1	1	3	0
"txid1064535"	302	34	142	89	84	97	120	150
"txid1675036"	0	0	0	0	1	0	0	0
"txid879612"	194	0	140	80	68	77	101	155
"txid1232428"	197	11	105	33	30	39	53	100
"txid187326"	7	7	5	5	6	3	3	2
"txid349095"	52	21	37	59	60	73	90	30
"txid2144175"	65	4	38	25	21	28	22	31
"txid349094"	0	0	0	0	1	0	0	0
"txid1111454"	2	1	1	0	1	1	0	0
"txid2045301"	5	0	1	10	9	13	14	1
"txid33033"	0	0	0	0	0	1	0	0
"txid1755100"	0	1	0	0	0	0	0	0
"txid850"	20	468	21	5	6	15	0	15
"txid852"	2	100	2	1	1	14	0	1
"txid861"	0	4	0	0	0	0	0	0
"txid856"	32	1587	74	18	44	35	15	45
"txid109328"	0	0	0	0	0	0	2	0
"txid1631957"	0	1	0	0	0	0	0	0
"txid47671"	1	0	0	0	0	0	0	0
"txid1852381"	17	134	17	21	18	13	12	21
"txid2584944"	17	26	6	14	11	9	8	15
"txid1944635"	93	65	30	97	97	54	58	86
"txid40545"	0	0	0	0	0	0	0	1
"txid90367"	1	0	0	0	0	0	0	0
"txid33053"	1	0	0	0	0	0	0	0
"txid204"	1	0	0	0	0	0	1	0
"txid13335"	1	0	11	23	31	9	8	4
"txid179995"	132	3	2307	2096	4246	1352	1381	2452
"txid762983"	4	8	32	33	43	14	57	82
"txid83771"	1	1	16	49	68	19	66	26
"txid2718"	0	0	1	0	0	0	0	0
"txid2494701"	0	0	1	0	0	0	0	0
"txid2529382"	0	2	0	0	0	0	0	0
"txid2529381"	0	0	2	0	0	0	0	0
"txid208962"	2	6	0	0	0	0	1	0
"txid562"	1	3	0	0	0	1	1	0
"txid585054"	461	483	0	0	0	70	158	2
"txid1499973"	89	108	0	0	0	3	2	0
"txid90370"	1	3	0	0	0	0	0	0
"txid621"	131	50	0	0	0	0	6	0
"txid622"	3	13	0	0	0	1640	2010	0
"txid623"	723	949	0	0	0	146	256	0
"txid624"	7	7	0	0	0	153	231	1
"txid584"	0	0	0	0	0	0	0	1
"txid985008"	1	0	0	1	0	0	2	0
"txid733"	0	0	0	0	0	0	1	0
"txid738"	0	1	0	0	0	0	0	0
"txid115545"	0	0	0	0	0	0	1	0
"txid296"	0	4	0	0	0	0	0	0
