index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
11,NR_026331.1,1,1488,40,1389,93.3468,36.8065,40.1,1.25,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,36.8064516129032,9.90174521052731,0.269021999584879,0.32,WOL-44-DRS-L177
12,NR_026332.1,1,1487,373,1388,93.3423,343.063,40.6,47.5,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,343.063214525891,91.9694711249357,0.268083161443107,3,WOL-44-DRS-L177
13,NR_026409.1,1,1495,1,1371,91.7057,0.917057,37.8,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.917056856187291,0.275888548893313,0.300841269580965,0.01,WOL-44-DRS-L177
14,NR_026493.1,1,1488,2,1378,92.6075,1.82527,37.7,0.5,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,1.8252688172043,0.540597873509243,0.29617438725396,0.02,WOL-44-DRS-L177
15,NR_026494.1,1,1499,2,1355,90.3936,1.7992,38.9,1,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,1.79919946631087,0.59400601885865,0.330150175109053,0.02,WOL-44-DRS-L177
16,NR_027549.1,1,1473,8,1374,93.279,7.1575,41,0.875,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,7.15750169721657,2.04325833506394,0.285470883766403,0.06,WOL-44-DRS-L177
17,NR_028726.1,1,1502,1,1113,74.1012,0.741012,36.4,1,94868,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,0.741011984021305,0.438224919954596,0.591387088743759,0.01,WOL-44-DRS-L177
18,NR_028740.1,1,1533,1,1106,72.1461,0.721461,37.6,1,100134,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna xylanovorans,0.721461187214612,0.448426263939812,0.621552859511511,0.01,WOL-44-DRS-L177
19,NR_029097.1,1,1374,189,1282,93.3042,171.951,38.5,1.55,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,171.951237263464,47.4823364474195,0.276138382038315,1.52,WOL-44-DRS-L177
20,NR_029137.1,1,1514,139,1379,91.0832,124.684,38.7,8.25,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,124.68428005284,39.5764178839072,0.317413052127622,1.12,WOL-44-DRS-L177
21,NR_029207.1,1,1426,24,1417,99.3689,23.4123,38.6,1.83,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,23.4123422159888,2.46313774742827,0.105206806081373,0.19,WOL-44-DRS-L177
22,NR_029356.1,1,1550,13,1378,88.9032,11.4116,39,33.2,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,11.4116129032258,4.06002341943892,0.355779980785296,0.1,WOL-44-DRS-L177
23,NR_036800.1,1,1481,2,1368,92.37,1.83592,42.6,40,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,1.83592167454423,0.538471916325994,0.293297869834056,0.02,WOL-44-DRS-L177
24,NR_036853.1,1,1514,1,1148,75.8256,0.758256,37,1,1683,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,0.758256274768824,0.428281273252478,0.564823909150045,0.01,WOL-44-DRS-L177
25,NR_036856.1,1,1517,18,1380,90.969,15.9103,38.3,7.28,78448,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,15.910349373764,5.12108061823263,0.321871034879802,0.14,WOL-44-DRS-L177
26,NR_036928.1,1,1431,2,1359,94.9686,1.68693,36.7,12,154046,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hungatella,Hungatella hathewayi,1.6869322152341,0.562055190048765,0.333181846296513,0.02,WOL-44-DRS-L177
27,NR_037117.1,1,1513,1,1317,87.0456,0.870456,40.2,5,28026,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum,0.870456047587574,0.335912034702016,0.38590349924385,0.01,WOL-44-DRS-L177
28,NR_040866.1,1,1425,9,1391,97.614,8.35579,39.2,1.11,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,8.35578947368421,1.54442971931219,0.184833488705793,0.07,WOL-44-DRS-L177
29,NR_040924.1,1,1418,1,1136,80.1128,0.801128,36.8,1,185294,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella paludivivens,0.801128349788434,0.399292064642686,0.49841210181631,0.01,WOL-44-DRS-L177
30,NR_041277.1,1,1490,14,1396,93.6913,12.8282,35.7,13.9,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,12.8281879194631,3.46526621165693,0.270129049668767,0.11,WOL-44-DRS-L177
31,NR_041342.1,1,1488,385,1395,93.75,355.055,38.6,11.5,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,355.055107526882,93.3047572622236,0.262789508682562,3.09,WOL-44-DRS-L177
32,NR_041343.1,1,1492,471,1401,93.9008,432.615,38.7,51.3,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,432.614611260054,115.344721144163,0.266622342708685,3.78,WOL-44-DRS-L177
33,NR_041351.1,1,1493,541,1400,93.7709,497.603,38.2,44.2,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,497.60281312793,130.427045204464,0.26211074729381,4.35,WOL-44-DRS-L177
34,NR_041446.1,1,1456,51,1380,94.7802,46.9382,37.1,9.25,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,46.9381868131868,12.014837242383,0.255971482030225,0.41,WOL-44-DRS-L177
35,NR_041461.1,1,1492,12,1399,93.7668,11.0583,38.2,11.4,387090,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprophilus,11.0583109919571,2.96547617132041,0.268167188775687,0.1,WOL-44-DRS-L177
36,NR_041464.1,1,1492,4,1397,93.6327,3.69102,40,2,387661,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,3.69101876675603,0.997165550847906,0.270159978548225,0.03,WOL-44-DRS-L177
37,NR_041590.1,1,1342,465,1207,89.9404,408.862,38.8,13.6,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,408.862146050671,141.032576181478,0.344939186823129,3.74,WOL-44-DRS-L177
38,NR_041626.1,1,1483,2,1369,92.3129,1.80445,37.9,1,762968,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella clara,1.80445043830074,0.557908802149903,0.309184885496377,0.02,WOL-44-DRS-L177
39,NR_041668.1,1,1484,3,1170,78.841,2.28167,33.3,7.67,742726,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,2.28167115902965,1.22412847760636,0.536505215820388,0.02,WOL-44-DRS-L177
40,NR_041875.1,1,1445,1,1095,75.7785,0.757785,39.8,12,1686,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium catenulatum,0.757785467128028,0.428571770894958,0.5655581816833,0.01,WOL-44-DRS-L177
41,NR_042152.1,1,1456,2,1128,77.4725,1.52679,36.6,0,168384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,1.52678571428571,0.836847035147787,0.548110338810246,0.02,WOL-44-DRS-L177
42,NR_042499.1,1,1368,2,1351,98.7573,1.92982,35.8,27,657309,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,1.92982456140351,0.300284135007477,0.155601779049329,0.02,WOL-44-DRS-L177
43,NR_042745.1,1,1493,347,1397,93.57,317.251,38.5,3.42,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,317.250502344273,84.6165547348936,0.266718426321259,2.79,WOL-44-DRS-L177
44,NR_042825.1,1,1427,1,1309,91.7309,0.917309,38.3,52,883106,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Paraeggerthella,Paraeggerthella hongkongensis,0.917309039943938,0.275511085337829,0.30034707316813,0.01,WOL-44-DRS-L177
45,NR_042876.1,1,1362,1,1356,99.5595,0.995595,40,1,985008,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,0.995594713656388,0.0662503006630269,0.0665434435863146,0.01,WOL-44-DRS-L177
46,NR_043142.1,1,1465,9,1365,93.1741,7.8198,39.8,15.1,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,7.819795221843,2.3294893109522,0.297896459544777,0.07,WOL-44-DRS-L177
47,NR_043656.1,1,1540,1,1170,75.974,0.75974,43,1,349094,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera sueciensis,0.75974025974026,0.427379928993203,0.562534265512421,0.01,WOL-44-DRS-L177
48,NR_043657.1,1,1553,13,1427,91.8867,10.9807,39.3,4.85,349095,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,10.9806825499034,3.74350128267817,0.340916993608115,0.1,WOL-44-DRS-L177
49,NR_043681.1,1,1420,2,1136,80,1.58028,37.6,6.5,358743,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster citroniae,1.58028169014085,0.802501325391033,0.507821694320529,0.02,WOL-44-DRS-L177
50,NR_044270.1,1,1454,8,1373,94.4292,7.31155,39,1,439703,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella maculosa,7.31155433287483,1.92599951030656,0.263418614240028,0.06,WOL-44-DRS-L177
51,NR_044473.1,1,1399,27,1364,97.4982,25.4925,37.9,24,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,25.4924946390279,4.29789108827334,0.168594370583625,0.22,WOL-44-DRS-L177
52,NR_044490.1,1,1482,4,1387,93.5897,3.43927,40.5,46.5,501571,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Butyricicoccus,Butyricicoccus pullicaecorum,3.43927125506073,1.02863604286466,0.299085465082484,0.03,WOL-44-DRS-L177
53,NR_044657.2,1,1470,39,1378,93.7415,34.917,39.8,38.4,2153,Bacteria,unclassified Bacteria kingdom,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Asteroleplasma,Asteroleplasma anaerobium,34.9170068027211,10.3410815628577,0.296161742078412,0.31,WOL-44-DRS-L177
54,NR_044688.3,1,1456,5,1371,94.1621,4.49794,39.5,6.8,852,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium perfoetens,4.49793956043956,1.20935466551276,0.268868589553607,0.04,WOL-44-DRS-L177
55,NR_044771.1,1,1488,1,1145,76.9489,0.769489,35.5,0,1681,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,0.769489247311828,0.421301352648052,0.547507784052665,0.01,WOL-44-DRS-L177
56,NR_044820.1,1,1333,2,1150,86.2716,1.70368,36.8,1,861,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans,1.70367591897975,0.695303846124977,0.408119782864198,0.02,WOL-44-DRS-L177
57,NR_074376.1,1,1497,36,1395,93.1864,32.9739,37.4,3.11,435591,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,32.9739478957916,9.10221163580911,0.276042518917512,0.29,WOL-44-DRS-L177
58,NR_074515.1,1,1510,462,1402,92.8477,418.679,38.5,27.7,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,418.67880794702,121.257152499864,0.289618557706432,3.71,WOL-44-DRS-L177
59,NR_074546.1,1,1513,1,1359,89.8215,0.898215,38.3,1,290053,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes,0.898215465961666,0.302464722852384,0.336739606825355,0.01,WOL-44-DRS-L177
60,NR_074902.1,1,1542,17,1401,90.856,15.1816,40.3,6.47,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,15.1815823605707,4.88565932702308,0.321814894586484,0.14,WOL-44-DRS-L177
61,NR_102861.1,1,1512,1,1364,90.2116,0.902116,38.7,0,717959,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,0.902116402116402,0.297255511062787,0.329509041588662,0.01,WOL-44-DRS-L177
62,NR_102893.1,1,1537,1,1357,88.2889,0.882889,38.8,1,43305,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio proteoclasticus,0.882888744307092,0.321657464896258,0.364323893548672,0.01,WOL-44-DRS-L177
63,NR_102980.1,1,1552,95,1423,91.6881,84.5973,39.2,2.18,1064535,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,84.597293814433,26.2886240192707,0.310750176913882,0.76,WOL-44-DRS-L177
64,NR_104735.1,1,1511,2,1357,89.8081,1.79087,38.5,1,45851,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio crossotus,1.79086697551291,0.607848210107735,0.339415611778562,0.02,WOL-44-DRS-L177
65,NR_104803.1,1,1521,1,1369,90.0066,0.900066,36.1,1,39482,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Faecalicatena,Faecalicatena contorta,0.900065746219592,0.300010957503154,0.333321158774505,0.01,WOL-44-DRS-L177
66,NR_104826.1,1,1530,24,1388,90.719,21.449,40,5.08,624,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,21.4490196078431,6.91556681989454,0.322418783997277,0.19,WOL-44-DRS-L177
67,NR_104851.1,1,1449,3,1289,88.9579,2.65286,40.1,2,40545,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthensis,2.65286404416839,0.946201556492469,0.356671710550881,0.02,WOL-44-DRS-L177
68,NR_104901.1,1,1515,4,1367,90.231,3.59802,43.6,1,621,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella boydii,3.5980198019802,1.18895013227842,0.330445688938141,0.03,WOL-44-DRS-L177
69,NR_104940.1,1,1478,1,1063,71.9215,0.719215,39,1,565,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Atlantibacter,Atlantibacter hermannii,0.719215155615697,0.449534694799387,0.62503506953292,0.01,WOL-44-DRS-L177
70,NR_104968.1,1,1451,1,1128,77.7395,0.777395,32.9,1,33905,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium thermophilum,0.777394900068918,0.416138697636406,0.535298980736193,0.01,WOL-44-DRS-L177
71,NR_112143.1,1,1397,22,1363,97.5662,19.655,36.6,19.8,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,19.6549749463135,4.57535583692374,0.232783600560218,0.18,WOL-44-DRS-L177
72,NR_112558.1,1,1110,2,1020,91.8919,1.7982,41,28.5,562,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,1.7981981981982,0.568798265242774,0.316315668546833,0.02,WOL-44-DRS-L177
73,NR_112668.1,1,1472,1,1371,93.1386,0.931386,40.1,1,732242,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola paurosaccharolyticus,0.931385869565217,0.252882730949679,0.271512312150202,0.01,WOL-44-DRS-L177
74,NR_112779.1,1,1515,1,1155,76.2376,0.762376,40.8,6,1150460,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium catenulatum,0.762376237623762,0.425767971572869,0.558474871803373,0.01,WOL-44-DRS-L177
75,NR_112899.1,1,1491,29,1357,91.0127,25.8571,36.6,1.03,742742,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,25.8571428571429,8.24248982666436,0.318770324788124,0.23,WOL-44-DRS-L177
76,NR_112901.1,1,1469,21,1354,92.1715,18.0279,39.7,1.81,762983,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,18.0279101429544,5.8754010637143,0.325905832518835,0.17,WOL-44-DRS-L177
77,NR_112931.1,1,1490,3,1391,93.3557,2.76376,37.1,1.33,85831,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens,2.76375838926174,0.771748885229958,0.279238911848625,0.02,WOL-44-DRS-L177
78,NR_112932.1,1,1478,126,1387,93.843,116.691,38.6,55,47678,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,116.691474966171,30.3289493327194,0.259907155527102,1.01,WOL-44-DRS-L177
79,NR_112935.1,1,1488,19,1395,93.75,17.293,38.3,56.2,28111,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,17.2930107526882,4.61308971435945,0.266760356558638,0.15,WOL-44-DRS-L177
80,NR_112938.1,1,1478,678,1387,93.843,625.65,39,6.56,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,625.64952638701,162.881439107095,0.260339746515433,5.45,WOL-44-DRS-L177
81,NR_112940.1,1,1459,11,1384,94.8595,10.2632,36.7,21.7,28116,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,10.2631939684716,2.45046026248452,0.238761955587346,0.09,WOL-44-DRS-L177
82,NR_112943.1,1,1476,71,1383,93.6992,65.4275,37.8,53.2,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,65.4275067750678,17.0904124817561,0.261211428100278,0.57,WOL-44-DRS-L177
83,NR_112944.1,1,1461,29,1381,94.5243,26.7399,39.5,38.6,818,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,26.7399041752225,6.54819663486777,0.244884820527345,0.23,WOL-44-DRS-L177
84,NR_112945.1,1,1477,226,1384,93.7035,208.357,38.3,16.1,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,208.356804333108,54.3091058016851,0.260654342321641,1.82,WOL-44-DRS-L177
85,NR_112946.1,1,1489,244,1398,93.8885,223.724,38.4,3.75,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,223.7239758227,60.2109505927201,0.269130522874477,1.96,WOL-44-DRS-L177
86,NR_112947.1,1,1465,11,1383,94.4027,10.2669,38.9,22.9,657309,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,10.2668941979522,2.53158252637397,0.246577248928785,0.09,WOL-44-DRS-L177
87,NR_113015.1,1,1490,7,1393,93.4899,6.40268,36.6,1,1236538,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,6.40268456375839,1.82556821365748,0.285125433789271,0.06,WOL-44-DRS-L177
88,NR_113064.1,1,1490,562,1399,93.8926,513.985,39.1,0.995,1236538,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,513.984563758389,145.673730964764,0.283420439515847,4.52,WOL-44-DRS-L177
