index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
10,NR_026314.1,1,1458,1,1060,72.7023,0.727023,31.6,16,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.727023319615912,0.445641811353983,0.612967699013308,0.01,JOA-3-MGE-L225
11,NR_026331.1,1,1488,1,1388,93.2796,0.932796,42.3,19,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.932795698924731,0.250459657983848,0.268504301930811,0.01,JOA-3-MGE-L225
12,NR_026476.1,1,1463,8,1351,92.3445,7.07997,40,4.38,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,7.07997265892003,2.15532985514461,0.304426296396656,0.04,JOA-3-MGE-L225
13,NR_028862.1,1,1537,8,1431,93.1034,7.3149,39.9,59.6,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,7.31489915419649,2.04021879082438,0.278912770745981,0.04,JOA-3-MGE-L225
14,NR_028866.1,1,1486,14,1394,93.8089,12.6198,36.5,12.9,752555,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bryantii,12.6197846567968,3.597995919082,0.285107552698547,0.07,JOA-3-MGE-L225
15,NR_029097.1,1,1374,83,1282,93.3042,75.6463,38.3,1.01,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,75.646288209607,20.9882583633303,0.277452587034731,0.42,JOA-3-MGE-L225
16,NR_029207.1,1,1426,1,1384,97.0547,0.970547,34.3,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.97054698457223,0.169131887397854,0.174264502477847,0.01,JOA-3-MGE-L225
17,NR_040877.1,1,1494,79,1402,93.842,69.253,38.4,1.23,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,69.2530120481928,19.3285542226026,0.279100556798194,0.4,JOA-3-MGE-L225
18,NR_040924.1,1,1418,1,1145,80.7475,0.807475,39.3,1,185294,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella paludivivens,0.807475317348378,0.394421904972536,0.488463110262932,0.01,JOA-3-MGE-L225
19,NR_041056.1,1,1494,6,1378,92.2356,5.41901,38.9,1.33,888743,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella multiformis,5.4190093708166,1.64410496457507,0.303395851911457,0.03,JOA-3-MGE-L225
20,NR_041277.1,1,1490,16,1396,93.6913,14.7262,37.3,41,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,14.7261744966443,3.89505370710292,0.264498679408593,0.08,JOA-3-MGE-L225
21,NR_041278.1,1,1490,8,1389,93.2215,7.31611,38.7,0.875,470145,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprocola,7.31610738255034,2.06120476725578,0.281735171379792,0.04,JOA-3-MGE-L225
22,NR_041342.1,1,1488,85,1395,93.75,78.6398,38.7,9.75,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,78.6397849462366,20.6455813694237,0.262533543085582,0.43,JOA-3-MGE-L225
23,NR_041343.1,1,1492,79,1399,93.7668,72.8847,38.3,54.5,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,72.8847184986595,19.4538814139213,0.266913034922117,0.4,JOA-3-MGE-L225
24,NR_041351.1,1,1493,6,1400,93.7709,5.48627,37.6,11.8,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,5.48626925653048,1.52305088374501,0.27761139902714,0.03,JOA-3-MGE-L225
25,NR_041446.1,1,1456,9,1380,94.7802,8.30426,38.5,8.56,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,8.30425824175824,2.09273224437992,0.252007124953864,0.05,JOA-3-MGE-L225
26,NR_041461.1,1,1492,1,1358,91.0188,0.910188,33.7,2,387090,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprophilus,0.910187667560322,0.286008572816274,0.314230331842327,0.01,JOA-3-MGE-L225
27,NR_041590.1,1,1342,377,1207,89.9404,333.294,39.2,5.17,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,333.29433681073,114.609562340954,0.343868916098738,1.93,JOA-3-MGE-L225
28,NR_043657.1,1,1553,14,1429,92.0155,12.2486,36.8,17,349095,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,12.2485511912428,3.91616883910855,0.319725066088507,0.07,JOA-3-MGE-L225
29,NR_044270.1,1,1454,6,1371,94.2916,5.55433,37.9,1,439703,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella maculosa,5.55433287482806,1.44435863044123,0.260041784133426,0.03,JOA-3-MGE-L225
30,NR_044473.1,1,1399,46,1364,97.4982,42.8377,37.4,5.2,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,42.8377412437455,7.55893237830628,0.176454970753387,0.23,JOA-3-MGE-L225
31,NR_044490.1,1,1482,3,1387,93.5897,2.7807,36.9,43.7,501571,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Butyricicoccus,Butyricicoccus pullicaecorum,2.78070175438597,0.74578630415297,0.268200752913055,0.02,JOA-3-MGE-L225
32,NR_044657.2,1,1470,3,1360,92.517,2.73469,35.3,60,2153,Bacteria,unclassified Bacteria kingdom,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Asteroleplasma,Asteroleplasma anaerobium,2.73469387755102,0.806090926331866,0.294764592464638,0.02,JOA-3-MGE-L225
33,NR_074376.1,1,1497,7,1395,93.1864,6.44556,38.2,4.14,435591,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,6.44555778223113,1.78784759891134,0.277376708008112,0.04,JOA-3-MGE-L225
34,NR_074515.1,1,1510,10,1393,92.2517,8.96755,38.5,20.9,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,8.96754966887417,2.66253116214257,0.296907322563716,0.05,JOA-3-MGE-L225
35,NR_074616.1,1,1520,2,1389,91.3816,1.80658,41.5,19,376805,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola salanitronis,1.80657894736842,0.573231149113141,0.317302019902394,0.01,JOA-3-MGE-L225
36,NR_074902.1,1,1542,1,1388,90.013,0.90013,39.2,1,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,0.900129701686122,0.299924253967375,0.333201152462314,0.01,JOA-3-MGE-L225
37,NR_102481.1,1,1533,9,1392,90.8023,7.89628,37,3.78,908937,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella dentalis,7.89628180039139,2.77113393647887,0.350941621199678,0.05,JOA-3-MGE-L225
38,NR_102887.1,1,1519,4,1378,90.7176,3.55826,36.3,6,839,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella ruminicola,3.55826201448321,1.18971044509195,0.334351557094297,0.02,JOA-3-MGE-L225
39,NR_102980.1,1,1552,110,1423,91.6881,98.8073,39.2,2.15,1064535,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,98.8073453608247,30.7020728415076,0.310726623910295,0.56,JOA-3-MGE-L225
40,NR_104735.1,1,1511,1,1339,88.6168,0.886168,37.9,16,45851,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio crossotus,0.886168100595632,0.317712137298927,0.358523554487437,0.01,JOA-3-MGE-L225
41,NR_104851.1,1,1449,1,1290,89.0269,0.890269,37.1,0,40545,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthensis,0.890269151138716,0.312661886279643,0.351199281565274,0.01,JOA-3-MGE-L225
42,NR_109628.1,1,1484,1,1327,89.4205,0.894205,36.8,1,1177574,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella jejuni,0.894204851752022,0.307678933598136,0.344081038025345,0.01,JOA-3-MGE-L225
43,NR_112789.1,1,1468,1,1337,91.0763,0.910763,39.6,1,536633,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia glucerasea,0.910762942779292,0.285182759306943,0.313125123906202,0.01,JOA-3-MGE-L225
44,NR_112848.1,1,1525,11,1401,91.8689,9.68918,36.6,0.727,1236509,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella dentasini,9.68918032786885,3.12183398418455,0.322197944361224,0.06,JOA-3-MGE-L225
45,NR_112899.1,1,1491,17,1356,90.9457,14.8974,37.3,1.65,742742,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,14.897384305835,4.84645444323278,0.325322509222946,0.09,JOA-3-MGE-L225
46,NR_112901.1,1,1469,1,1253,85.2961,0.852961,40.4,0,762983,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,0.852961198093941,0.35426519376374,0.415335650150785,0.01,JOA-3-MGE-L225
47,NR_112945.1,1,1477,3,1384,93.7035,2.8023,39.6,27.3,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,2.8023019634394,0.733569886701331,0.261774033017122,0.02,JOA-3-MGE-L225
48,NR_112946.1,1,1489,30,1396,93.7542,27.4735,38.6,4.07,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,27.4734721289456,7.34413315285499,0.267317254928158,0.15,JOA-3-MGE-L225
49,NR_112947.1,1,1465,1,1370,93.5154,0.935154,41.7,30,657309,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,0.935153583617748,0.246338751230311,0.263420635439712,0.01,JOA-3-MGE-L225
50,NR_113015.1,1,1490,3,1385,92.953,2.74832,38.7,1,1236538,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,2.74832214765101,0.793112055736399,0.28858045495659,0.02,JOA-3-MGE-L225
51,NR_113064.1,1,1490,68,1397,93.7584,62.1235,38.8,1.04,1236538,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,62.1234899328859,17.6613786762064,0.284294695859595,0.35,JOA-3-MGE-L225
52,NR_113073.1,1,1481,1,1348,91.0196,0.910196,37.9,1,487174,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,0.910195813639433,0.285997594034064,0.314215457540392,0.01,JOA-3-MGE-L225
53,NR_113077.1,1,1480,4,1387,93.7162,3.67365,37.9,33.2,454154,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella clara,3.67364864864865,0.989933203126007,0.269468666659277,0.02,JOA-3-MGE-L225
54,NR_113078.1,1,1488,5,1392,93.5484,4.51344,39.1,3.4,454155,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella xylaniphila,4.51344086021505,1.32274377641585,0.293067709843179,0.03,JOA-3-MGE-L225
55,NR_113092.1,1,1481,1,1316,88.8589,0.888589,31.1,0,77768,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella albensis,0.888588791357191,0.314746949595523,0.354209903002257,0.01,JOA-3-MGE-L225
56,NR_113094.1,1,1494,8,1387,92.838,7.11245,35.8,2.38,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella baroniae,7.11244979919679,2.14246579928247,0.301227546031245,0.04,JOA-3-MGE-L225
57,NR_113097.1,1,1480,16,1385,93.5811,13.9142,37,9.62,873513,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccae,13.9141891891892,4.22780183247795,0.303848235423074,0.08,JOA-3-MGE-L225
58,NR_113098.1,1,1493,6,1395,93.436,5.51105,39,0.667,28127,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccalis,5.51105157401206,1.53272341002148,0.27811813942174,0.03,JOA-3-MGE-L225
59,NR_113099.1,1,1479,7,1386,93.712,6.19811,36.1,4,28128,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella corporis,6.19810682893847,1.84349690857042,0.297429031065304,0.04,JOA-3-MGE-L225
60,NR_113101.1,1,1492,1,1117,74.866,0.74866,28.6,1,28129,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola,0.748659517426274,0.433929311340002,0.579608354985929,0.01,JOA-3-MGE-L225
61,NR_113102.1,1,1494,5,1397,93.5074,4.53481,37,0.8,1236509,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella dentasini,4.53480589022758,1.31549834536441,0.290089229221318,0.03,JOA-3-MGE-L225
62,NR_113105.1,1,1480,2,1356,91.6216,1.81351,36.7,1,470565,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella histicola,1.81351351351351,0.565236868816959,0.311680538691915,0.01,JOA-3-MGE-L225
63,NR_113118.1,1,1481,236,1390,93.8555,216.329,39.8,0.233,28135,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oris,216.328831870358,62.0099210615001,0.286646585780399,1.21,JOA-3-MGE-L225
64,NR_113119.1,1,1481,219,1388,93.7205,200.629,39.1,0.1,28135,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oris,200.628629304524,57.4848378723861,0.286523603693333,1.12,JOA-3-MGE-L225
65,NR_113125.1,1,1486,1,1366,91.9246,0.919246,37.2,1,28112,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella forsythia,0.919246298788695,0.272548214441126,0.296490956558941,0.01,JOA-3-MGE-L225
66,NR_113164.1,1,1466,3,1358,92.633,2.74966,35.4,1,147206,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella stercoris,2.74965893587995,0.794660006061768,0.289003118056699,0.02,JOA-3-MGE-L225
67,NR_113165.1,1,1466,10,1364,93.0423,9.18349,37.3,17.9,147207,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella intestinalis,9.18349249658936,2.58026647807855,0.280967886567864,0.05,JOA-3-MGE-L225
68,NR_113172.1,1,1502,783,1383,92.0772,703.189,38.3,50.8,1437609,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium callitrichos,703.189081225033,216.848842715143,0.308379137994248,4,JOA-3-MGE-L225
69,NR_113195.1,1,1490,16,1396,93.6913,14.3101,37.8,1.06,1236515,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,14.310067114094,4.07969212560009,0.285092452262646,0.08,JOA-3-MGE-L225
70,NR_113227.1,1,1490,29,1395,93.6242,26.4081,37.9,5.45,915438,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oryzae,26.4080536912752,7.356959368213,0.278587716240657,0.15,JOA-3-MGE-L225
71,NR_113231.1,1,1491,9,1389,93.159,8.18042,38.4,10.2,536633,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia glucerasea,8.18041582830315,2.30995338896384,0.282376035332056,0.05,JOA-3-MGE-L225
72,NR_113273.1,1,1469,3,1362,92.7161,2.74064,36.3,2.33,742742,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,2.74063989108237,0.807063418436027,0.294479920934556,0.02,JOA-3-MGE-L225
73,NR_113274.1,1,1478,2,1370,92.6928,1.75846,38.3,0.5,762983,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,1.75845737483085,0.574078569244624,0.326467150959428,0.01,JOA-3-MGE-L225
74,NR_113307.1,1,1178,1,1007,85.4839,0.854839,41,7,1122219,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera cerevisiae,0.854838709677419,0.352412994564872,0.412256710623058,0.01,JOA-3-MGE-L225
75,NR_113313.1,1,1429,24,1381,96.641,22.5745,37.8,50.4,1437610,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium reuteri,22.5745276417075,4.52067401630945,0.200255530838098,0.12,JOA-3-MGE-L225
76,NR_113384.1,1,1469,1,1365,92.9204,0.929204,41.4,60,856,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium,0.929203539823009,0.256571887804255,0.276120222113151,0.01,JOA-3-MGE-L225
77,NR_113393.1,1,1528,1,1160,75.9162,0.759162,42.4,1,2741,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Peptococcus,Peptococcus niger,0.759162303664921,0.427731966385382,0.563426245376606,0.01,JOA-3-MGE-L225
78,NR_113411.1,1,1493,12185,1490,99.7991,11275.9,38.8,45.8,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,11275.8727394508,2943.8250797926,0.261072925157542,62.22,JOA-3-MGE-L225
79,NR_114304.1,1,1492,1,1355,90.8177,0.908177,38.1,0,1236517,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella fusca,0.908176943699732,0.288872831190779,0.31807989973184,0.01,JOA-3-MGE-L225
80,NR_114807.1,1,1456,1,1337,91.8269,0.918269,39.1,1,168384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,0.918269230769231,0.274048229208526,0.298439956415568,0.01,JOA-3-MGE-L225
81,NR_115211.1,1,1485,1,1365,91.9192,0.919192,41.7,1,253257,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora amygdalina,0.919191919191919,0.272631963525436,0.296599608670529,0.01,JOA-3-MGE-L225
82,NR_115765.1,1,1483,1,1342,90.4922,0.904922,45.7,0,1351,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,0.904922454484154,0.29342096219282,0.324249841230963,0.01,JOA-3-MGE-L225
83,NR_116050.1,1,1454,1,1150,79.0922,0.790922,31.8,0,439703,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella maculosa,0.790921595598349,0.406790405880616,0.514324565348188,0.01,JOA-3-MGE-L225
84,NR_116181.1,1,1435,3,1394,97.1429,2.70941,39.8,13.7,28116,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,2.70940766550523,0.620333624029513,0.228955439938876,0.02,JOA-3-MGE-L225
85,NR_117373.1,1,1327,4,1276,96.1567,3.79804,38.5,4.25,1236515,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,3.79804069329314,0.819205233155332,0.215691536586731,0.02,JOA-3-MGE-L225
86,NR_117734.1,1,1482,1,1326,89.4737,0.894737,38.6,41,850,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum,0.894736842105263,0.306995797300291,0.343112949923854,0.01,JOA-3-MGE-L225
87,NR_118643.1,1,1390,3,1288,92.6619,2.75468,36.7,31.3,1432052,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Eisenbergiella,Eisenbergiella tayi,2.75467625899281,0.792942503894674,0.287853246386419,0.02,JOA-3-MGE-L225
88,NR_125570.1,1,1395,26,1286,92.1864,23.6681,37.8,1.23,796943,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium parvum,23.6681003584229,6.96935958855399,0.294462144532599,0.13,JOA-3-MGE-L225
89,NR_125571.1,1,1436,8,1355,94.3593,6.96657,36.9,7.62,796944,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium asaccharolyticum,6.96657381615599,2.05607717272285,0.29513462815174,0.04,JOA-3-MGE-L225
