"ID"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"txid208479"	0	11	5	4	26	2	8	0
"txid358743"	0	1	0	0	1	0	1	0
"txid1531"	0	1	1	1	1	0	1	0
"txid460384"	0	0	0	0	1	0	0	0
"txid2788944"	3	0	1	1	3	2	3	1
"txid39482"	1	1	3	2	3	2	2	0
"txid2726362"	1	0	1	0	0	0	1	0
"txid290055"	0	0	0	0	0	0	0	1
"txid1544"	1	1	1	0	0	0	0	0
"txid1912855"	1	0	0	0	0	0	0	0
"txid1150298"	1	0	0	1	0	0	0	0
"txid1912090"	3	1	0	1	0	0	1	0
"txid2885351"	6	2	3	3	2	0	6	0
"txid2763671"	0	0	0	1	1	0	1	0
"txid1469948"	3	0	2	2	3	0	1	0
"txid140626"	0	0	0	0	0	0	1	0
"txid29364"	2	1	0	4	0	0	2	0
"txid1926283"	4	0	0	0	0	0	1	0
"txid1871021"	1	0	0	0	0	0	0	0
"txid1852382"	0	2	1	2	5	0	2	0
"txid36832"	1	0	0	0	0	0	0	0
"txid94868"	0	0	0	1	0	0	0	0
"txid253257"	5	2	0	2	0	0	0	0
"txid1286362"	19	1	2	1	3	0	1	0
"txid69825"	8	1	1	1	1	0	1	0
"txid84030"	1	0	0	0	0	0	0	0
"txid29370"	6	1	1	0	2	0	0	1
"txid29375"	1	0	0	0	0	0	0	0
"txid168384"	5	3	2	4	6	0	5	1
"txid1298596"	0	0	0	0	0	0	1	0
"txid411470"	0	0	0	0	0	0	2	0
"txid33039"	1	0	0	0	0	0	0	0
"txid1337051"	0	0	0	2	1	0	1	0
"txid2606633"	1	0	0	0	0	0	0	1
"txid796944"	34	16	11	25	19	5	30	1
"txid796943"	158	96	80	126	197	46	167	10
"txid237576"	125	107	75	104	157	35	140	13
"txid2606632"	11	3	3	7	4	0	12	0
"txid2763669"	3	0	1	2	2	0	3	0
"txid301302"	0	0	0	0	0	0	1	0
"txid622312"	0	0	0	0	0	0	2	0
"txid2605790"	1	0	0	0	0	0	0	0
"txid2606635"	6	1	2	3	6	0	2	1
"txid2763667"	69	25	62	70	64	21	53	14
"txid1673717"	0	0	0	1	0	0	0	0
"txid1632013"	0	0	0	1	0	0	2	0
"txid1535"	1	0	1	2	1	1	0	0
"txid2741"	0	2	2	1	4	0	1	0
"txid1643805"	0	1	0	0	0	0	1	0
"txid384638"	0	0	0	2	1	0	1	0
"txid2654621"	1408	343	410	874	646	367	850	324
"txid742816"	106	174	154	482	824	93	266	7
"txid158847"	86	93	85	450	313	17	218	7
"txid491921"	7	5	4	24	15	3	9	3
"txid209880"	19	37	6	23	29	2	17	2
"txid156456"	0	1	0	0	0	0	1	0
"txid1852378"	1	0	1	4	0	0	0	0
"txid1852379"	0	1	1	6	2	0	5	0
"txid1122219"	0	1	0	0	0	0	0	0
"txid1064535"	50	134	112	327	366	45	162	9
"txid1675036"	1	1	0	2	0	0	1	0
"txid879612"	33	61	43	159	151	19	104	0
"txid1232428"	16	66	52	113	215	31	64	3
"txid187326"	2	4	4	15	9	0	9	0
"txid349095"	43	47	34	208	98	7	156	1
"txid2144175"	12	46	43	81	80	12	36	2
"txid349094"	1	0	1	2	0	0	1	0
"txid1111454"	0	0	0	2	0	0	1	0
"txid2045301"	6	10	6	54	10	0	33	0
"txid856"	1	0	0	0	0	0	0	0
"txid1966466"	0	1	0	0	0	0	0	0
"txid2032623"	0	2	0	0	0	0	0	0
"txid1852381"	1	161	305	35	12	5	36	116
"txid2584944"	1	26	71	6	8	0	2	47
"txid1816689"	0	0	1	0	0	0	0	0
"txid2494234"	0	0	0	0	0	0	0	2
"txid1944635"	3	17	52	36	47	1	21	28
"txid40545"	0	0	3	0	0	0	0	1
"txid90367"	0	0	0	0	1	0	0	0
"txid13335"	41	20	17	25	7	3	3	54
"txid179995"	4154	3761	3013	2816	2639	6094	986	3948
"txid762983"	6	1	4	16	6	2	30	4
"txid83771"	31	23	20	28	11	7	8	69
"txid881260"	0	0	0	0	0	0	2	0
"txid2494701"	0	0	0	0	0	0	1	0
"txid2497875"	0	0	0	0	0	0	4	0
"txid1296536"	0	0	0	0	0	0	1	0
"txid299767"	0	0	0	0	0	0	42	0
"txid539813"	0	0	0	0	0	0	2	0
"txid2529382"	0	0	1	0	0	0	1	0
"txid2497436"	0	0	0	0	0	0	1	0
"txid2071710"	0	0	0	0	0	0	12	0
"txid2529381"	0	0	0	0	0	0	1	0
"txid208962"	0	0	1	0	1	0	3	0
"txid562"	0	0	1	0	0	0	2	0
"txid585054"	0	18	64	13	93	1	1319	0
"txid1499973"	0	5	13	3	23	0	584	0
"txid1028307"	0	0	0	0	0	0	1	0
"txid83655"	0	0	0	0	0	0	1	0
"txid566"	0	0	0	0	0	0	1	0
"txid1398493"	0	0	0	0	0	0	11	0
"txid90370"	0	0	1	0	0	0	0	0
"txid621"	0	5	16	6	24	0	111	0
"txid622"	0	0	1	0	1	0	113	0
"txid623"	0	27	92	20	155	0	419	0
"txid624"	0	1	1	1	1	0	20	0
"txid549"	0	0	0	0	0	0	20	0
"txid985008"	0	0	0	0	0	0	1	0
"txid733"	0	0	0	0	3	0	0	0
"txid296"	0	0	0	0	0	0	0	1
"txid2153"	0	0	2	0	0	0	0	0
